Titles,Imdb ratings,Release Year
The Shawshank Redemption,9.3,1994
The Godfather,9.2,1972
The Dark Knight,9.0,2008
The Godfather Part II,9.0,1974
12 Angry Men,9.0,1957
Schindler's List,9.0,1993
The Lord of the Rings: The Return of the King,9.0,2003
Pulp Fiction,8.9,1994
The Lord of the Rings: The Fellowship of the Ring,8.9,2001
"The Good, the Bad and the Ugly",8.8,1966
Forrest Gump,8.8,1994
The Lord of the Rings: The Two Towers,8.8,2002
Fight Club,8.8,1999
Inception,8.8,2010
Star Wars: Episode V - The Empire Strikes Back,8.7,1980
The Matrix,8.7,1999
Goodfellas,8.7,1990
One Flew Over the Cuckoo's Nest,8.7,1975
Interstellar,8.7,2014
Se7en,8.6,1995
It's a Wonderful Life,8.6,1946
Seven Samurai,8.6,1954
The Silence of the Lambs,8.6,1991
Saving Private Ryan,8.6,1998
City of God,8.6,2002
Life Is Beautiful,8.6,1997
The Green Mile,8.6,1999
Terminator 2: Judgment Day,8.6,1991
Star Wars: Episode IV - A New Hope,8.6,1977
Back to the Future,8.5,1985
Spirited Away,8.6,2001
The Pianist,8.5,2002
Parasite,8.5,2019
Psycho,8.5,1960
Gladiator,8.5,2000
The Lion King,8.5,1994
Spider-Man: Across the Spider-Verse,8.6,2023
The Departed,8.5,2006
Whiplash,8.5,2014
American History X,8.5,1998
Léon: The Professional,8.5,1994
Grave of the Fireflies,8.5,1988
The Prestige,8.5,2006
Harakiri,8.6,1962
Dune: Part Two,8.5,2024
The Usual Suspects,8.5,1995
Casablanca,8.5,1942
The Intouchables,8.5,2011
Cinema Paradiso,8.5,1988
Modern Times,8.5,1936
Alien,8.5,1979
Rear Window,8.5,1954
Once Upon a Time in the West,8.5,1968
City Lights,8.5,1931
Django Unchained,8.5,2012
Apocalypse Now,8.4,1979
Memento,8.4,2000
WALL·E,8.4,2008
Raiders of the Lost Ark,8.4,1981
12th Fail,8.8,2023
The Lives of Others,8.4,2006
Sunset Boulevard,8.4,1950
Avengers: Infinity War,8.4,2018
Paths of Glory,8.4,1957
Spider-Man: Into the Spider-Verse,8.4,2018
Witness for the Prosecution,8.4,1957
The Shining,8.4,1980
The Great Dictator,8.4,1940
Aliens,8.4,1986
Inglourious Basterds,8.4,2009
The Dark Knight Rises,8.4,2012
Coco,8.4,2017
Amadeus,8.4,1984
Toy Story,8.3,1995
Dr,8.3,1964
Oldboy,8.3,2003
American Beauty,8.3,1999
Avengers: Endgame,8.4,2019
Das Boot,8.4,1981
Braveheart,8.3,1995
Good Will Hunting,8.3,1997
Princess Mononoke,8.3,1997
Joker,8.4,2019
Your Name.,8.4,2016
High and Low,8.4,1963
3 Idiots,8.4,2009
Once Upon a Time in America,8.3,1984
Singin' in the Rain,8.3,1952
Capernaum,8.4,2018
Come and See,8.4,1985
Requiem for a Dream,8.3,2000
Toy Story 3,8.3,2010
Star Wars: Episode VI - Return of the Jedi,8.3,1983
Eternal Sunshine of the Spotless Mind,8.3,2004
The Hunt,8.3,2012
2001: A Space Odyssey,8.3,1968
Ikiru,8.3,1952
Reservoir Dogs,8.3,1992
Lawrence of Arabia,8.3,1962
The Apartment,8.3,1960
Incendies,8.3,2010
North by Northwest,8.3,1959
Scarface,8.3,1983
Oppenheimer,8.3,2023
Citizen Kane,8.3,1941
Double Indemnity,8.3,1944
M,8.3,1931
Vertigo,8.3,1958
Full Metal Jacket,8.2,1987
Heat,8.3,1995
Amélie,8.3,2001
Up,8.3,2009
A Clockwork Orange,8.2,1971
To Kill a Mockingbird,8.3,1962
A Separation,8.3,2011
The Sting,8.3,1973
Die Hard,8.2,1988
Indiana Jones and the Last Crusade,8.2,1989
Like Stars on Earth,8.3,2007
Metropolis,8.3,1927
Snatch,8.2,2000
1917,8.2,2019
L.A,8.2,1997
Bicycle Thieves,8.3,1948
Hamilton,8.3,2020
Downfall,8.2,2004
Taxi Driver,8.2,1976
Dangal,8.3,2016
Batman Begins,8.2,2005
For a Few Dollars More,8.2,1965
The Wolf of Wall Street,8.2,2013
Green Book,8.2,2018
Some Like It Hot,8.2,1959
The Kid,8.2,1921
The Truman Show,8.2,1998
Judgment at Nuremberg,8.3,1961
The Father,8.2,2020
All About Eve,8.2,1950
Shutter Island,8.2,2010
There Will Be Blood,8.2,2007
Jurassic Park,8.2,1993
Top Gun: Maverick,8.2,2022
Casino,8.2,1995
The Sixth Sense,8.2,1999
Ran,8.2,1985
Pan's Labyrinth,8.2,2006
Unforgiven,8.2,1992
No Country for Old Men,8.2,2007
The Thing,8.2,1982
A Beautiful Mind,8.2,2001
Kill Bill: Vol,8.2,2003
The Treasure of the Sierra Madre,8.2,1948
Yojimbo,8.2,1961
The Great Escape,8.2,1963
Monty Python and the Holy Grail,8.2,1975
Finding Nemo,8.2,2003
Prisoners,8.2,2013
Howl's Moving Castle,8.2,2004
The Elephant Man,8.2,1980
Rashomon,8.2,1950
Dial M for Murder,8.2,1954
Chinatown,8.1,1974
Gone with the Wind,8.2,1939
"Lock, Stock and Two Smoking Barrels",8.1,1998
The Secret in Their Eyes,8.2,2009
V for Vendetta,8.1,2005
Inside Out,8.1,2015
"Three Billboards Outside Ebbing, Missouri",8.1,2017
Raging Bull,8.1,1980
Trainspotting,8.1,1996
The Bridge on the River Kwai,8.1,1957
Klaus,8.2,2019
Catch Me If You Can,8.1,2002
Fargo,8.1,1996
Warrior,8.1,2011
Spider-Man: No Way Home,8.2,2021
Gran Torino,8.1,2008
Harry Potter and the Deathly Hallows: Part 2,8.1,2011
Million Dollar Baby,8.1,2004
My Neighbor Totoro,8.1,1988
Mad Max: Fury Road,8.1,2015
Children of Heaven,8.2,1997
Ben-Hur,8.1,1959
12 Years a Slave,8.1,2013
Before Sunrise,8.1,1995
Barry Lyndon,8.1,1975
Blade Runner,8.1,1982
The Grand Budapest Hotel,8.1,2014
Hacksaw Ridge,8.1,2016
Gone Girl,8.1,2014
Dead Poets Society,8.1,1989
Maharaja,8.5,2024
Memories of Murder,8.1,2003
In the Name of the Father,8.1,1993
The Gold Rush,8.1,1925
"Monsters, Inc.",8.1,2001
Wild Tales,8.1,2014
The Deer Hunter,8.1,1978
The General,8.1,1926
Sherlock Jr.,8.2,1924
Jaws,8.1,1975
Ratatouille,8.1,2007
How to Train Your Dragon,8.1,2010
On the Waterfront,8.1,1954
Mary and Max,8.1,2009
The Wages of Fear,8.1,1953
Wild Strawberries,8.1,1957
Ford v Ferrari,8.1,2019
The Third Man,8.1,1949
Mr,8.1,1939
Logan,8.1,2017
Tokyo Story,8.1,1953
Rocky,8.1,1976
The Big Lebowski,8.1,1998
The Seventh Seal,8.1,1957
Room,8.1,2015
Spotlight,8.1,2015
The Terminator,8.1,1984
Hotel Rwanda,8.1,2004
Platoon,8.1,1986
La haine,8.1,1995
Pirates of the Caribbean: The Curse of the Black Pearl,8.1,2003
Before Sunset,8.1,2004
The Passion of Joan of Arc,8.1,1928
Jai Bhim,8.7,2021
The Best Years of Our Lives,8.1,1946
The Exorcist,8.1,1973
Rush,8.1,2013
The Incredibles,8.0,2004
The Wizard of Oz,8.1,1939
Network,8.1,1976
Stand by Me,8.1,1986
Hachi: A Dog's Tale,8.1,2009
The Sound of Music,8.1,1965
My Father and My Son,8.2,2005
The Handmaiden,8.1,2016
To Be or Not to Be,8.1,1942
Into the Wild,8.1,2007
The Battle of Algiers,8.1,1966
The Grapes of Wrath,8.1,1940
Groundhog Day,8.0,1993
The Iron Giant,8.1,1999
Amores Perros,8.0,2000
Rebecca,8.1,1940
The Help,8.1,2011
Cool Hand Luke,8.1,1967
It Happened One Night,8.1,1934
"Paris, Texas",8.1,1984
Autumn Sonata,8.1,1978
Andhadhun,8.2,2018
